author,author_type,bake_time,calories,carb,carb_u,difficulty,dish_description,dish_name,fat,fat_u,ingredient_list,ingredient_quantity,ingredient_unit,prep_time,protein,protein_u,rating,rest_time,reviews_for_rating,servings,total_steps,utensils
Devan Grimsrud,Managing Editor at Kitchen Stories,35,683,19,g,Easy,,"5-ingredient sheet pan chicken with leeks, potatoes, and caper butter",47,g,"chicken legs,leeks,waxy potatoes,capers,butter,lemon,olive oil,salt,pepper,baguette (for serving)","['3', '2', '250', '2', '3', '1', 0, 0, 0, 0]","g,tbsp,tbsp,,,,,,,",10,44,g,4.5,0,17,4,2,"2 bowls,baking sheet,oven,cutting board,knife"
Alex Hiller,Contributor,0,964,159,g,Hard,,Homemade tortellini with mushroom and ricotta filling,57,g,"pasta dough,ricotta cheese,egg yolks,mushrooms (e.g. chanterelle),pine nuts,butter,all-purpose flour,vegetable stock,heavy cream,rosemary,thyme,garlic,nutmeg,salt,pepper,flour for work surface","['300', '500', '5', '250', '50', '4', '4', '500', '250', '2', '2', '1', '0.25', 0, 0, 0]","g,g,g,g,tbsp,tbsp,ml,ml,sprigs,sprigs,clove,tsp,,,,",50,37,g,4.5,0,21,4,12,"small frying pan,cooking spoon,cutting board,knife,large bowl,pasta machine,circular cutter,brush,large saucepan,sieve,small saucepan,cooking tongs"
Kristin Bothor,Managing Editor at Kitchen Stories,45,728,96,g,Medium,“A great comfort food for cold winter days. The gnocchi made of roasted carrots and ricotta chime perfectly with the mint pesto and hot honey.”,Carrot-ricotta gnocchi with mint pesto and hot honey,34,g,"carrots,ricotta cheese,mint,Langnese Acacia Honey,chili flakes,egg,starch,flour,olive oil,pine nuts (toasted),Pecorino cheese,lemon juice,salt,pepper,olive oil,flour (for dusting),ricotta cheese (for serving)","['800', '150', '120', '150', '0.5', '1', '2', '200', '100', '30', '25', '2', 0, 0, 0, 0, 0]","g,g,g,g,tsp,tbsp,g,ml,g,g,tsp,,,,,,",45,15,g,4.0,0,14,4,7,"oven,peeler,1 baking sheet,1 saucepan (small),1 food processor,1 bowl (large),1 rubber spatula,cutting board,knife,1 pot (large),1 slotted spoon"
Alex Hiller,Contributor,0,465,42,g,Easy,,Pasta with mini meatballs,25,g,"tagliatelle,ground pork,ground beef,garlic (divided),shallots (divided),olive oil (divided),chili flakes,oregano,breadcrumbs,milk,crushed tomatoes (canned),fresh basil for serving,Parmesan cheese for serving,salt,pepper","['300', '200', '200', '3', '3', '3', '1', '0.5', '45', '5', '800', 0, 0, 0, 0]","g,g,g,cloves,tbsp,tsp,tbsp,g,tbsp,g,,,,,",45,18,g,4.5,0,67,4,4,"large frying pan,cutting board,knife,large mixing bowl,large saucepan,colander"
Alex Hiller,Contributor,15,416,48,g,Hard,,Alsatian Tarte Flambée,17,g,"all-purpose flour,whole rye flour,water (lukewarm),fresh yeast,egg,streaky bacon,onion,chives,crème fraîche,olive oil,salt,pepper,flour for work surface","['170', '80', '100', '20', '1', '8', '1', '10', '140', '15', 0, 0, 0]","g,g,ml,g,strips,g,g,ml,,,,,",35,17,g,4.5,65,55,4,8,"large bowl,standing mixer,oven,cutting board,knife,kitchen towel,small frying pan,cooking spoon,baking tray,parchment paper,rolling pin"
Vanessa Pass,Contributor,0,766,52,g,Easy,,Creamy pork and mushroom ragout with rice,41,g,"pork tenderloin,mushrooms,rice,parsley,onions,garlic,white wine,cream,chicken stock,water,oil for frying,sugar,salt,pepper","['500', '200', '240', '1', '2', '1', '50', '400', '200', '360', 0, 0, 0, 0]","g,g,g,tbsp,clove,ml,ml,ml,ml,,,,,",30,47,g,4.5,0,83,4,4,"cutting board,knife,large frying pan,large saucepan"
Verena,Founder at Kitchen Stories,0,399,30,g,Medium,,Thai chicken noodle soup,15,g,"rice noodles,chicken breast,chicken stock,ginger,garlic,lemon grass,lime leaves,celery,carrot,green onions,enoki mushrooms,cilantro,peanut oil,soy sauce,oyster sauce","100,150,350,20,1,1,2,2,1,2,100,10,1,2,1","g,g,ml,g,clove,stalk,stalks,g,g,tbsp,tbsp,tbsp,,,",30,34,g,4.5,0,68,2,7,"fine grater,cutting board,knife,large sauce pan,cooking spoon,kettle (optional),large bowl,colander"
Team,Editors at Kitchen Stories,0,567,69,g,Easy,,One-pot spinach pasta,18,g,"fusilli,frozen spinach,onion,garlic,lemon (zest),fresh thyme,vegetable stock,ricotta,Parmesan cheese,salt,pepper","['350', '300', '1', '3', '1', '15', '1', '250', '80', 0, 0]","g,g,cloves,g,l,g,g,,,,",20,30,g,4.5,0,110,4,2,"large saucepan,fine grater,cooking spoon,cutting board,knife"
Lisa,Contributor,0,954,14,g,Easy,,German-style leek and cheese soup,71,g,"ground beef,leeks,onion (white),vegetable stock,melting cheese,vegetable oil,crème fraîche,salt,pepper,lemon zest for serving,nutmeg for servinng,bread for serving","['500', '2', '1', '750', '400', '1', '200', 0, 0, 0, 0, 0]","g,ml,g,tbsp,g,,,,,,,",30,66,g,4.5,0,181,3,4,"cutting board,knife,large saucepan,cooking spoon"
Alex Hiller,Contributor,0,946,94,g,Easy,,Pasta with beef and creamy mushrooms,28,g,"short pasta (e.g. fusilli),beef steak,mushrooms,onion,thyme (dried),rosemary (dried),white wine (dry),heavy cream,olive oil for frying,salt,pepper","['250', '400', '300', '1', '0.5', '0.5', '100', '150', 0, 0, 0]","g,g,g,tbsp,tbsp,ml,ml,,,,",30,68,g,4.5,0,147,2,6,"large sauce pan,sieve,cutting board,knife,large frying pan,cooking spoon,pasta tongs"
Julia Stephan,Senior Food Editor at Kitchen Stories,25,278,24,g,Easy,,Vegan moussaka,13,g,"potatoes,eggplant,tomatoes,shallots,carrot,garlic,parsley (fresh),tofu,olive oil,tomato sauce,sugar,soy cream,bell pepper paste,salt,pepper","['200', '250', '100', '2', '1', '1', '5', '250', '2', '400', '0.25', '50', '150', 0, 0]","g,g,g,clove,g,g,tbsp,ml,tsp,ml,ml,,,,",25,10,g,4.0,0,82,4,7,"cutting board,knife,large saucepan,cooking spoon,oven,small bowl,casserole dish"
Johanna Reder,Test Kitchen Manager and Chef at Kitchen Stories,0,903,32,g,Easy,“Red curry paste is traditionally ground in a mortar and pestle and the bright color comes from bird's eye chilis. If you'd like your dish to be spicier simply add a little more of the paste.”,Thai red curry,62,g,"red curry paste,garlic,snow peas,green beans,red bell pepper,carrot,scallions,lemongrass,chicken breasts,sesame oil,coconut milk,chicken stock,soy sauce,fish sauce,cashews,Thai basil,basmati rice (for serving)","['1', '1', '100', '100', '1', '1', '2', '1', '300', '4', '300', '100', '2', '1', '30', '7', 0]","tbsp,clove,g,g,stalk,g,tbsp,ml,ml,tbsp,tbsp,g,g,,,,",30,52,g,4.5,0,56,2,3,"cutting board,knife,peeler,wok,spatula"
Devan Grimsrud,Managing Editor at Kitchen Stories,25,689,42,g,Easy,"“Crispy chicken goes with everything, and so does a simple lemon and butter pan sauce. This easy weeknight dinner would work well with chicken legs instead of breasts (just make sure whatever cut you choose has the skin-on, as this is what gets crispy in the oven) and green beans instead of asparagus. Serve with warm baguette to sop up the remaining lemon-butter sauce, or slice the asparagus into smaller pieces before cooking and toss it with the sauce and hot pasta for a different take.”",5-ingredient oven-baked chicken breasts with lemon-butter asparagus,37,g,"chicken breasts (skin-on),lemon,butter,green asparagus,parsley,flour,salt,pepper,olive oil (for frying)","['2', '1', '6', '350', '10', '100', 0, 0, 0]","tbsp,g,g,g,,,,,",25,45,g,5.0,0,33,2,4,"oven,fine grater,citrus press,knife,cutting board,ovenproof pan,paper towels,tongs,frying pan"
Lisa Schölzel,Senior Food Editor at Kitchen Stories,5,263,25,g,Easy,,One-pot pasta with orzo and shrimp,14,g,"garlic,parsley,orzo,vegetable stock,shrimp (peeled and deveined),lemon (zest),Parmesan,salt,pepper,vegetable oil for frying","['2', '10', '100', '250', '6', '1', '30', 0, 0, 0]","cloves,g,g,ml,g,,,,,",30,10,g,4.5,0,117,2,5,"oven,cutting board,knife,frying pan,cooking spoon,tongs,fine grater"
HelloFresh,Contributor,30,590,92,g,Easy,,Salmon and broccoli casserole,14,g,"broccoli,potatoes,lemon,salmon,dill (fresh),chervil (fresh),crème fraiche,water,shredded cheese,butter,salt,pepper","['250', '400', '1', '250', '5', '5', '75', '2', '100', '0.5', 0, 0]","g,g,g,g,g,g,tbsp,g,tbsp,,,",15,33,g,4.5,0,264,2,4,"large saucepan,cutting board,knife,small bowl,baking dish,oven"
Julian Mancuso,Contributor,40,965,30,g,Medium,"“A take on a classic from Sheila Lukins and Julee Rosso’s “The Silver Palate Cookbook,” this recipe is at the same time complex and easy to execute, risky in its separate parts yet satisfyingly harmonious as a whole. In this version the brown sugar is swapped with honey, which adds a slightly floral element to the dish as well as a shiny gloss. The addition of cayenne in the marinade gives it a nice kick and a squeeze of lemon before serving helps to lighten up an otherwise fairly heavy chicken dish.”",Chicken Marbella,60,g,"whole chickens,prunes,jarred pitted green olives,garlic,capers,dried oregano,bay leaves,chili powder,red wine vinegar,white wine,honey,salt,pepper,lemon (for serving)","1.5,65,65,3,2,1.5,3,1,120,120,2,1,2,1","kg,g,g,cloves,tbsp,tbsp,tsp,ml,ml,tbsp,tbsp,tsp,,",15,72,g,4.5,1440,13,4,3,"knife,cutting board,bowl (large),baking dish,whisk,food thermometer"
Nina,Contributor,20,773,43,g,Easy,,Pasta with burst cherry tomatoes and mozzarella,57,g,"spaghetti,cherry tomatoes,mozzarella,olive oil,honey,thyme,garlic,basil,butter (divided),pine nuts,salt,pepper","['200', '300', '125', '3', '1', '3', '2', '25', '2', '30', 0, 0]","g,g,g,tbsp,tbsp,sprigs,cloves,g,tbsp,g,,",20,21,g,4.5,0,131,2,4,"baking dish,oven,cutting board,knife,large pot,large frying pan,cooking spoon,tongs,colander"
Team,Editors at Kitchen Stories,0,365,28,g,Easy,,Vietnamese summer rolls,21,g,"carrot,Thai basil,cilantro,mint,tofu,bell pepper,green onions,lettuce (e.g., iceberg, romaine),peanuts,rice wrappers,sesame seeds,peanut sauce (satay sauce),vegetable oil for frying,salt,pepper","['1', '10', '10', '10', '200', '1', '3', '0.5', '60', '10', '60', '200', 0, 0, 0]","g,g,g,g,g,g,ml,,,,,,,,",30,15,g,4.5,0,94,5,6,"spiral slicer,cutting board,knife,tongs,2 frying pans,bowl"
Vanessa Pass,Contributor,20,513,54,g,Easy,,Tex-Mex stuffed peppers,18,g,"bell peppers,onion,garlic,chili,rice,ground cumin,ground coriander,vegetable broth,tomato purée,canned black beans,canned white beans,canned sweet corn,sugar,cheddar cheese (grated),cilantro,light crème fraîche,lime,salt,pepper,olive oil (for frying)","['4', '1', '2', '0.5', '100', '0.5', '0.5', '300', '150', '100', '100', '100', '0.5', '150', '15', '150', '0.5', 0, 0, 0]","cloves,g,tsp,tsp,ml,ml,g,g,g,tsp,g,g,g,,,,,,,",45,30,g,4.5,0,50,4,5,"2 cutting boards,2 knives,frying pan,oven,baking dish,2 bowls"
Christian Ruß,Test Kitchen Manager and Chef at Kitchen Stories,0,506,46,g,Easy,"“In colder fall and winter months, nothing beats a delicious potato soup that will warm both your stomach and heart. I have to say though, for myself, this would actually suit any season. What do you think?”",Kartoffelsuppe (German potato soup with Vienna sausages),23,g,"waxy potato,Vienna sausages,onion,carrots,celery,leek,bacon,vegetable broth,water,dried marjoram,parsley,oil,mustard,ground nutmeg,pepper","['1', '100', '1', '2', '200', '0.5', '200', '500', '1', '0.33', '5', '2', '1', 0, 0]","kg,g,g,g,ml,l,tsp,sprigs,tbsp,tsp,,,,,",40,20,g,5.0,0,55,4,3,"cutting board,knife,peeler,large pot,spatula,immersion blender"
Enikö Gruber,Contributor,0,882,85,g,Easy,,One-pot stovetop mac and cheese,48,g,"macaroni,Gouda cheese (grated),cheddar cheese (grated),milk,heavy cream,garlic powder,ground turmeric,nutmeg,salt,pepper","['400', '75', '75', '1', '400', '1', '1', '1', 0, 0]","g,g,g,l,ml,tsp,tsp,,,",20,27,g,4.0,0,160,4,2,"pot,fine grater,cooking spoon"
Devan Grimsrud,Managing Editor at Kitchen Stories,0,470,57,g,Easy,,5-ingredient sweet potato lentil curry soup,18,g,"sweet potato,red lentils,red curry paste,coconut milk,baby spinach,salt,pepper,olive oil","['1', '240', '1.5', '400', '300', 0, 0, 0]","g,tbsp,ml,g,,,,",30,20,g,4.5,0,169,4,2,"peeler,pot,cooking spoon,cutting board,knife"
Alex Hiller,Contributor,30,265,11,g,Medium,,Eggplant Parmesan,16,g,"eggplants,onion (white),garlic,rosemary,basil,oregano (dried),thyme (dried),tomato paste,canned tomatoes (diced),mozzarella,Parmesan (grated),olive oil,salt,pepper","['3', '1', '1', '1', '6', '2', '2', '1', '750', '500', '100', 0, 0, 0]","clove,tbsp,tbsp,tsp,tsp,tbsp,g,g,g,,,,,",60,17,g,4.5,0,326,8,8,"cutting board,knife,large saucepan,frying pan,baking dish,oven"
Julie Myers,Editor-in-Chief at Kitchen Stories,0,703,71,g,Easy,,Classic spaghetti carbonara,30,g,"spaghetti,egg yolks,pancetta, guanciale or bacon (cubed),freshly-grated Pecorino or Parmesan cheese,kosher salt,freshly-ground black pepper,Pecorino or Parmesan cheese for serving","['500', '8', '150', '40', 0, 0, 0]","g,g,g,,,,",20,37,g,4.5,0,400,4,5,"cheese grater,large serving bowl,whisk,large pot,small bowl,ladle,wooden spoon,large skillet,2 wooden spoons"
Mary-Linh Tran,Junior Food Editor at Kitchen Stories,20,757,62,g,Easy,"“Harissa is a North African chili paste that typically consists of dried peppers, garlic, olive oil, and spices like caraway and coriander. The flavors of harissa vary widely, from being sharp and fiery to citrusy and floral, sweet or smoky. It’s traditionally used in stews and couscous, but I like to use it in lieu of tomato paste when I make pasta, roasted veg, sandwiches, marinades or even salad dressings. The spice level in this recipe is mild, so don’t be afraid to dollop a few more spoonfuls if, like me, you like things extra hot.”",Spicy harissa and eggplant pasta bake,52,g,"harissa,eggplant,fusilli,red onion,garlic,ground cumin,lemon juice,canned crushed tomatoes,feta cheese,salt,pepper,olive oil (for frying),parsley (for serving)","['1', '1', '250', '1', '2', '1', '1', '400', '100', 0, 0, 0, 0]","tbsp,g,cloves,tbsp,tbsp,g,g,,,,,,",30,14,g,4.5,0,11,4,5,"colander,pot,knife,cutting board,oven,frying pan,cooking spoon"
Alex Hiller,Contributor,0,240,31,g,Easy,,Sweet potato curry,9,g,"onion (red),garlic,ginger (fresh),Hokkaido pumpkin,bell pepper (red),cherry tomatoes,sweet potatoes,olive oil,tomato paste,curry powder,curry paste,coconut milk,mint,basil,cashews,snow peas,lime (juice),salt,pepper,chili flakes","['100', '1', '1', '200', '100', '80', '300', '2', '1', '1', '1', '500', '20', '20', '80', '80', '1', 0, 0, 0]","g,clove,tbsp,g,g,g,g,tbsp,tbsp,tsp,tbsp,ml,g,g,g,g,,,,",40,7,g,4.5,0,572,4,6,"vegetable peeler,cutting board,knife,frying pan,cooking spoon"
Verena,Founder at Kitchen Stories,0,779,347,g,Easy,,One-pot pasta,38,g,"long pasta (e.g. spaghetti),spinach (baby),cherry tomatoes,vegetable stock,onion,garlic,thyme,basil,Parmesan cheese (grated),salt,pepper,olive oil for frying,basil to serve","['250', '200', '200', '800', '1', '1', '3', '10', '60', 0, 0, 0, 0]","g,g,g,ml,clove,sprigs,g,g,,,,,",25,31,g,4.5,0,752,2,4,"cutting board,knife,cooking spoon,deep pan,pasta tongs"
Xueci Cheng,Associate Food Editor at Kitchen Stories,0,557,17,g,Easy,"“Inspired by a Chinese-style beef stir-fry called “cong bao niu rou,” this simplified version uses white onion instead of scallion whites. The white onion adds a touch of sweetness to the dish and turns it into a perfect and quick dinner, made simply with pantry ingredients. Marinating beef with some soy sauce and vegetable oil is commonplace in Chinese stir-fries, which serves to keep the meat tender and juicy. Sprinkle fresh herbs like cilantro or mint and fresh ginger over the dish, if desired.”","Easy ginger, beef, and onion stir-fry",42,g,"ginger,flank steaks,onion,sugar,soy sauce,vegetable oil,starch,water,unsalted butter,vegetable oil (for frying),rice (for serving)","['50', '450', '1', '1', '2', '1', '0.5', '2', '1', 0, 0]","g,g,tsp,tbsp,tbsp,tbsp,tbsp,tbsp,,,",35,26,g,4.5,0,12,4,3,"cutting board,knife,bowl (small),whisk,frying pan,spatula"
Ryan Barrell,Contributor,0,602,40,g,Easy,"“This quick and simple dish is a perfect meal to spice up your weeknights, or would be a wonderful weekend brunch option to kick off the day. If you can’t find chard, any sturdy greens like kale should work.”",Spicy pan-fried chickpeas with beef,34,g,"canned chickpeas,ground beef,chili,garlic,parsley,lemon,water,full-fat plain yogurt,ras el hanout,ground cumin,ground cinnamon,Swiss chard,salt,pepper,olive oil,rice (cooked, for serving),sumac (for serving)","['400', '250', '1', '2', '20', '1', '250', '250', '1', '0.5', '0.25', '100', 0, 0, 0, 0, 0]","g,g,cloves,g,ml,ml,tsp,tsp,g,,,,,,,,",30,38,g,4.0,0,27,2,5,"knife,cutting board,sieve,fine grater,citrus press,bowl,frying pan (large),spatula,frying pan"
Vanessa Pass,Contributor,0,684,66,g,Easy,"“Crunchy peppers, tender meat, and a creamy sauce are, in my opinion, the most important ingredients for a quick and delicious dinner. Searing the turkey and setting it aside while you cook the other ingredients ensures the meat stays tender.”",Creamy turkey and bell pepper over rice,29,g,"turkey breasts,red bell pepper,basmati rice,onion,parsley,flour,sweet paprika powder,hot paprika powder,chicken stock,heavy cream,soy sauce,sugar,ajvar,salt,pepper,vegetable oil (for frying)","['250', '1', '120', '1', '1', '1', '0.5', '0.5', '150', '100', '1', '0.25', '1', 0, 0, 0]","g,g,sprig,tbsp,tsp,tsp,ml,ml,tbsp,tsp,tsp,,,,,",25,37,g,5.0,0,121,2,4,"cutting board,knife,pot,frying pan,tongs,rubber spatula"
Christian Ruß,Test Kitchen Manager and Chef at Kitchen Stories,0,693,49,g,Medium,"“Spaetzle is a centuries-old culinary tradition from Swabia. The preparation of it is unique and important to Swabian cuisine. It’s always fun to scrape the dough from the cutting board to create spaetzle in a classic way. If you can find lemon thyme, use that instead of thyme for a more citrusy flavor.”",Pork and mushroom ragout with spätzle,26,g,"pork tenderloin,brown mushrooms,flour,eggs,salt,water (cold),garlic,onion,white wine,vegetable broth,lemon juice,thyme,unsalted butter,salt,pepper,sugar,sour cream (for garnish)","['1', '400', '300', '4', '1', '125', '1', '1', '200', '400', '1', '3', '1', 0, 0, 0, 0]","kg,g,g,tsp,ml,clove,ml,ml,tsp,sprigs,tbsp,,,,,,",45,58,g,4.5,0,17,5,3,"bowl,2 frying pans,spatula,slotted spoon,pot"
Devan Grimsrud,Managing Editor at Kitchen Stories,0,878,71,g,Easy,,Chicken marsala with fettuccine,37,g,"chicken breasts (boneless, skinless),Marsala wine,fettuccine,button mushrooms,shallots,garlic,sage leaves,marjoram,parsley,lemon,flour,butter,chicken stock,heavy cream,salt,pepper,olive oil","['4', '120', '400', '350', '2', '2', '10', '2', '3', '1', '150', '5', '300', '120', 0, 0, 0]","ml,g,g,cloves,leaves,sprigs,sprigs,g,tbsp,ml,ml,,,,,,",45,54,g,5.0,0,19,4,6,"cutting board,knife,oven,bowl,meat tenderizer,plastic wrap,pot,frying pan,cooking spoon,paper towels,colander"
Johanna Reder,Test Kitchen Manager and Chef at Kitchen Stories,0,666,71,g,Easy,"“Only three ingredients! Sounds easy, but the simplest dishes with the least ingredients are sometimes known to be the most difficult. With this recipe, the quality of the products is crucial. You should definitely try it with fresh pasta and high quality Pecorino Romano from the Italian deli or specialty shop. The result will be heavenly.”",Cacio e Pepe,28,g,"Pecorino cheese,black peppercorns,spaghetti,pasta water,salt","['300', '2', '400', '150', 0]","g,tsp,g,ml,",20,30,g,4.0,0,29,4,2,"grater,large bowl,pot (large),tweezers"
Mengting,Founder at Kitchen Stories,30,605,91,g,Easy,,Baked penne with salmon and leeks,31,g,"short pasta (e.g. penne),salmon,leeks,cream cheese,vegetable stock,Gouda cheese (grated),lemon,horseradish (prepared),nutmeg,salt,pepper,olive oil for frying,olive oil for greasing","['250', '300', '400', '200', '250', '50', '0.5', '1', '0.25', 0, 0, 0, 0]","g,g,g,g,ml,g,tbsp,tsp,,,,,",30,33,g,4.5,0,108,4,8,"large saucepan,sieve,oven,cutting board,knife,citrus juicer,large frying pan,cooking spoon,baking dish"
Johanna Reder,Test Kitchen Manager and Chef at Kitchen Stories,0,742,36,g,Medium,"“As the weather is getting colder, this comforting and hearty dish is a perfect dinner choice after a long day. The unique spiciness of fresh horseradish will make your meatballs and mashed potatoes much more interesting.”",Horseradish mashed potatoes with meatballs,52,g,"horseradish,potatoes,ground veal,onion,garlic,bread roll,milk,egg,salt,butter,flour,veal stock,cream,ground nutmeg,ground allspice,salt,pepper,vegetable oil (for frying)","['50', '500', '400', '1', '1', '1', '300', '1', '2', '150', '18', '200', '200', '1.25', 0, 0, 0, 0]","g,g,g,clove,ml,g,g,g,ml,ml,g,,,,,,,",45,31,g,4.0,0,26,4,5,"knife,cutting board,large pot,bowl,frying pan,spatula,large bowl,cast iron pan,ladle,potato ricer,saucepan,fine grater"
